14,11,13,6
14,10,12,7
12,5,11,5
13,10,12,6
14,12,10,6
12,12,12,8
10,6,9,5
14,13,12,7
12,13,13,7
12,6,9,4
12,10,13,6
13,7,12,6
12,9,9,6
8,10,12,6
15,15,15,8
11,13,11,5
15,13,16,8
11,11,10,4
12,15,14,8
16,15,15,8
14,16,15,6
11,14,14,8
14,11,12,6
15,14,12,6
7,6,11,5
13,12,13,8
16,14,16,7
9,8,8,4
15,16,15,7
11,11,12,7
16,16,13,6
8,10,8,6
16,13,16,7
13,15,15,8
10,13,10,7
16,11,11,8
8,12,11,6
13,13,13,6
10,9,7,3
13,11,10,7
14,14,16,7
15,15,14,8
10,10,11,7
12,8,10,6
15,9,13,6
15,11,12,7
13,14,10,6
15,15,13,8
14,16,15,8
10,10,13,8
13,10,10,5
13,11,14,6
15,16,14,6
14,16,15,8
14,13,14,4
12,15,16,8
14,16,14,7
12,9,12,6
11,12,10,7
8,11,13,6
10,11,13,6
14,13,13,6
12,13,13,5
13,15,11,5
9,13,10,6
8,14,10,5
6,11,10,6
14,14,13,5
13,15,12,6
16,16,14,8
10,9,9,6
11,11,11,6
13,8,9,8
12,12,10,3
13,12,12,7
15,13,16,8
14,14,13,8
15,15,14,8
10,14,16,6
14,14,16,7
16,14,14,8
11,11,13,6
15,9,11,6
14,10,12,7
13,11,12,6
11,13,10,7
11,11,9,7
10,9,10,6
16,10,11,4
10,11,13,4
11,11,10,6
13,15,14,7
14,12,14,7
12,13,13,7
10,14,15,5
15,10,12,5
10,12,11,6
10,14,15,5
10,14,12,6
9,7,7,6
14,11,10,7
13,6,8,5
16,15,16,7
12,14,12,4
13,8,11,6
16,14,16,7
14,16,14,8
8,12,11,6
14,15,16,7
6,4,6,3
6,4,6,2
9,5,6,5
4,5,5,2
7,4,7,2
6,4,6,2
4,4,4,2
6,4,6,2
5,5,4,2
4,4,6,2
5,4,6,4
4,4,4,2
4,5,4,2
5,4,4,2
4,4,4,2
4,6,4,2
4,6,6,2
4,4,4,2
4,4,4,2
4,4,4,3
5,4,5,3
6,6,4,2
4,4,4,2
6,6,5,2
4,4,6,2
5,5,5,3
